,course_id,certificate type,rating,reviews,coursera plus,difficulty
807,808,Beginner,4.8,34000,True,Professional Certificate
808,809,Beginner,4.8,196000,True,Professional Certificate
809,810,Beginner,4.8,86000,True,Professional Certificate
810,811,Beginner,4.9,29000,True,Specialization
811,812,Beginner,4.7,7800,True,Course
812,813,Beginner,4.6,136000,True,Professional Certificate
813,814,Intermediate,4.8,145000,True,Specialization
814,815,Beginner,4.6,86000,True,Professional Certificate
815,816,Beginner,4.6,77000,True,Professional Certificate
816,817,Beginner,4.8,43000,True,Professional Certificate
817,818,Beginner,4.8,159000,True,Professional Certificate
818,819,Beginner,4.8,119000,True,Professional Certificate
819,820,Beginner,4.8,34000,True,Professional Certificate
820,821,Beginner,4.8,196000,True,Professional Certificate
821,822,Beginner,4.8,86000,True,Professional Certificate
822,823,Beginner,4.9,29000,True,Specialization
823,824,Beginner,4.7,7800,True,Course
824,825,Beginner,4.6,136000,True,Professional Certificate
825,826,Intermediate,4.8,145000,True,Specialization
826,827,Beginner,4.6,86000,True,Professional Certificate
827,828,Beginner,4.6,77000,True,Professional Certificate
828,829,Beginner,4.8,43000,True,Professional Certificate
829,830,Beginner,4.8,159000,True,Professional Certificate
830,831,Beginner,4.8,119000,True,Professional Certificate
831,832,Beginner,4.8,34000,True,Professional Certificate
832,833,Beginner,4.8,196000,True,Professional Certificate
833,834,Beginner,4.8,86000,True,Professional Certificate
834,835,Beginner,4.9,29000,True,Specialization
835,836,Beginner,4.7,7800,True,Course
836,837,Beginner,4.6,136000,True,Professional Certificate
837,838,Intermediate,4.8,145000,True,Specialization
838,839,Beginner,4.6,86000,True,Professional Certificate
839,840,Beginner,4.6,77000,True,Professional Certificate
840,841,Beginner,4.8,43000,True,Professional Certificate
841,842,Beginner,4.8,159000,True,Professional Certificate
842,843,Beginner,4.8,119000,True,Professional Certificate
843,844,Beginner,4.8,34000,True,Professional Certificate
844,845,Beginner,4.8,196000,True,Professional Certificate
845,846,Beginner,4.8,86000,True,Professional Certificate
846,847,Beginner,4.9,29000,True,Specialization
847,848,Beginner,4.7,7800,True,Course
848,849,Beginner,4.6,136000,True,Professional Certificate
849,850,Intermediate,4.8,145000,True,Specialization
850,851,Beginner,4.6,86000,True,Professional Certificate
851,852,Beginner,4.6,77000,True,Professional Certificate
852,853,Beginner,4.8,43000,True,Professional Certificate
853,854,Beginner,4.8,159000,True,Professional Certificate
854,855,Beginner,4.8,119000,True,Professional Certificate
855,856,Beginner,4.8,34000,True,Professional Certificate
856,857,Beginner,4.8,196000,True,Professional Certificate
857,858,Beginner,4.8,86000,True,Professional Certificate
858,859,Beginner,4.9,29000,True,Specialization
859,860,Beginner,4.7,7800,True,Course
860,861,Beginner,4.6,136000,True,Professional Certificate
861,862,Intermediate,4.8,145000,True,Specialization
862,863,Beginner,4.6,86000,True,Professional Certificate
863,864,Beginner,4.6,77000,True,Professional Certificate
864,865,Beginner,4.8,43000,True,Professional Certificate
865,866,Beginner,4.8,159000,True,Professional Certificate
866,867,Beginner,4.8,119000,True,Professional Certificate
867,868,Beginner,4.8,34000,True,Professional Certificate
868,869,Beginner,4.8,196000,True,Professional Certificate
869,870,Beginner,4.8,86000,True,Professional Certificate
870,871,Beginner,4.9,29000,True,Specialization
871,872,Beginner,4.7,7800,True,Course
872,873,Beginner,4.6,136000,True,Professional Certificate
873,874,Intermediate,4.8,145000,True,Specialization
874,875,Beginner,4.6,86000,True,Professional Certificate
875,876,Beginner,4.6,77000,True,Professional Certificate
876,877,Beginner,4.8,43000,True,Professional Certificate
877,878,Beginner,4.8,159000,True,Professional Certificate
878,879,Beginner,4.8,119000,True,Professional Certificate
879,880,Beginner,4.8,34000,True,Professional Certificate
880,881,Beginner,4.8,196000,True,Professional Certificate
881,882,Beginner,4.8,86000,True,Professional Certificate
882,883,Beginner,4.9,29000,True,Specialization
883,884,Beginner,4.7,7800,True,Course
884,885,Beginner,4.6,136000,True,Professional Certificate
885,886,Intermediate,4.8,145000,True,Specialization
886,887,Beginner,4.6,86000,True,Professional Certificate
887,888,Beginner,4.6,77000,True,Professional Certificate
888,889,Beginner,4.8,43000,True,Professional Certificate
889,890,Beginner,4.8,159000,True,Professional Certificate
890,891,Beginner,4.8,119000,True,Professional Certificate
891,892,Beginner,4.8,34000,True,Professional Certificate
892,893,Beginner,4.8,196000,True,Professional Certificate
893,894,Beginner,4.8,86000,True,Professional Certificate
894,895,Beginner,4.9,29000,True,Specialization
895,896,Beginner,4.7,7800,True,Course
896,897,Beginner,4.6,136000,True,Professional Certificate
897,898,Intermediate,4.8,145000,True,Specialization
898,899,Beginner,4.6,86000,True,Professional Certificate
899,900,Beginner,4.6,77000,True,Professional Certificate
900,901,Beginner,4.8,43000,True,Professional Certificate
901,902,Beginner,4.8,159000,True,Professional Certificate
902,903,Beginner,4.8,119000,True,Professional Certificate
903,904,Beginner,4.8,34000,True,Professional Certificate
904,905,Beginner,4.8,196000,True,Professional Certificate
905,906,Beginner,4.8,86000,True,Professional Certificate
906,907,Beginner,4.9,29000,True,Specialization
907,908,Beginner,4.7,7800,True,Course
908,909,Beginner,4.6,136000,True,Professional Certificate
909,910,Intermediate,4.8,145000,True,Specialization
910,911,Beginner,4.6,86000,True,Professional Certificate
911,912,Beginner,4.6,77000,True,Professional Certificate
912,913,Beginner,4.8,43000,True,Professional Certificate
913,914,Beginner,4.8,159000,True,Professional Certificate
914,915,Beginner,4.8,119000,True,Professional Certificate
915,916,Beginner,4.8,34000,True,Professional Certificate
916,917,Beginner,4.8,196000,True,Professional Certificate
917,918,Beginner,4.8,86000,True,Professional Certificate
918,919,Beginner,4.9,29000,True,Specialization
919,920,Beginner,4.7,7800,True,Course
920,921,Beginner,4.6,136000,True,Professional Certificate
921,922,Intermediate,4.8,145000,True,Specialization
922,923,Beginner,4.6,86000,True,Professional Certificate
923,924,Beginner,4.6,77000,True,Professional Certificate
924,925,Beginner,4.8,43000,True,Professional Certificate
925,926,Beginner,4.8,159000,True,Professional Certificate
926,927,Beginner,4.8,119000,True,Professional Certificate
927,928,Beginner,4.8,34000,True,Professional Certificate
928,929,Beginner,4.8,196000,True,Professional Certificate
929,930,Beginner,4.8,86000,True,Professional Certificate
930,931,Beginner,4.9,29000,True,Specialization
931,932,Beginner,4.7,7800,True,Course
932,933,Beginner,4.6,136000,True,Professional Certificate
933,934,Intermediate,4.8,145000,True,Specialization
934,935,Beginner,4.6,86000,True,Professional Certificate
935,936,Beginner,4.6,77000,True,Professional Certificate
936,937,Beginner,4.8,43000,True,Professional Certificate
937,938,Beginner,4.8,159000,True,Professional Certificate
938,939,Beginner,4.8,119000,True,Professional Certificate
939,940,Beginner,4.8,34000,True,Professional Certificate
940,941,Beginner,4.8,196000,True,Professional Certificate
941,942,Beginner,4.8,86000,True,Professional Certificate
942,943,Beginner,4.9,29000,True,Specialization
943,944,Beginner,4.7,7800,True,Course
944,945,Beginner,4.6,136000,True,Professional Certificate
945,946,Intermediate,4.8,145000,True,Specialization
946,947,Beginner,4.6,86000,True,Professional Certificate
947,948,Beginner,4.6,77000,True,Professional Certificate
948,949,Beginner,4.8,43000,True,Professional Certificate
949,950,Beginner,4.8,159000,True,Professional Certificate
950,951,Beginner,4.8,119000,True,Professional Certificate
951,952,Beginner,4.8,34000,True,Professional Certificate
952,953,Beginner,4.8,196000,True,Professional Certificate
953,954,Beginner,4.8,86000,True,Professional Certificate
954,955,Beginner,4.9,29000,True,Specialization
955,956,Beginner,4.7,7800,True,Course
956,957,Beginner,4.6,136000,True,Professional Certificate
957,958,Intermediate,4.8,145000,True,Specialization
958,959,Beginner,4.6,86000,True,Professional Certificate
959,960,Beginner,4.6,77000,True,Professional Certificate
960,961,Beginner,4.8,43000,True,Professional Certificate
961,962,Beginner,4.8,159000,True,Professional Certificate
962,963,Beginner,4.8,119000,True,Professional Certificate
963,964,Beginner,4.8,34000,True,Professional Certificate
964,965,Beginner,4.8,196000,True,Professional Certificate
965,966,Beginner,4.8,86000,True,Professional Certificate
966,967,Beginner,4.9,29000,True,Specialization
967,968,Beginner,4.7,7800,True,Course
968,969,Beginner,4.6,136000,True,Professional Certificate
969,970,Intermediate,4.8,145000,True,Specialization
970,971,Beginner,4.6,86000,True,Professional Certificate
971,972,Beginner,4.6,77000,True,Professional Certificate
972,973,Beginner,4.8,43000,True,Professional Certificate
973,974,Beginner,4.8,159000,True,Professional Certificate
974,975,Beginner,4.8,119000,True,Professional Certificate
975,976,Beginner,4.8,34000,True,Professional Certificate
976,977,Beginner,4.8,196000,True,Professional Certificate
977,978,Beginner,4.8,86000,True,Professional Certificate
978,979,Beginner,4.9,29000,True,Specialization
979,980,Beginner,4.7,7800,True,Course
980,981,Beginner,4.6,136000,True,Professional Certificate
981,982,Intermediate,4.8,145000,True,Specialization
982,983,Beginner,4.6,86000,True,Professional Certificate
983,984,Beginner,4.6,77000,True,Professional Certificate
984,985,Beginner,4.8,43000,True,Professional Certificate
985,986,Beginner,4.8,159000,True,Professional Certificate
986,987,Beginner,4.8,119000,True,Professional Certificate
987,988,Beginner,4.8,34000,True,Professional Certificate
988,989,Beginner,4.8,196000,True,Professional Certificate
989,990,Beginner,4.8,86000,True,Professional Certificate
990,991,Beginner,4.9,29000,True,Specialization
991,992,Beginner,4.7,7800,True,Course
992,993,Beginner,4.6,136000,True,Professional Certificate
993,994,Intermediate,4.8,145000,True,Specialization
994,995,Beginner,4.6,86000,True,Professional Certificate
995,996,Beginner,4.6,77000,True,Professional Certificate
996,997,Beginner,4.8,43000,True,Professional Certificate
997,998,Beginner,4.8,159000,True,Professional Certificate
998,999,Beginner,4.8,119000,True,Professional Certificate
999,1000,Beginner,4.8,34000,True,Professional Certificate
1000,1001,Beginner,4.8,196000,True,Professional Certificate
1001,1002,Beginner,4.8,86000,True,Professional Certificate
1002,1003,Beginner,4.9,29000,True,Specialization
1003,1004,Beginner,4.7,7800,True,Course
1004,1005,Beginner,4.6,136000,True,Professional Certificate
1005,1006,Intermediate,4.8,145000,True,Specialization
1006,1007,Beginner,4.6,86000,True,Professional Certificate
1007,1008,Beginner,4.6,77000,True,Professional Certificate
