course_id,certificate type,rating,reviews,coursera plus,towards degree,difficulty
1,Professional Certificate,4.8,43000,False,True,Beginner
2,Professional Certificate,4.8,159000,False,True,Beginner
3,Professional Certificate,4.8,120000,False,True,Beginner
4,Professional Certificate,4.8,34000,False,True,Beginner
5,Professional Certificate,4.8,196000,False,True,Beginner
6,Specialization,4.9,30000,False,True,Beginner
7,Professional Certificate,4.8,86000,False,True,Beginner
8,Course,4.7,8000,False,False,Beginner
9,Professional Certificate,4.6,137000,False,True,Beginner
10,Specialization,4.8,145000,False,True,Intermediate
11,Professional Certificate,4.6,86000,False,True,Beginner
12,Professional Certificate,4.6,77000,False,False,Beginner
13,Professional Certificate,4.6,60000,False,True,Beginner
14,Specialization,4.6,108000,False,False,Beginner
15,Professional Certificate,4.6,51000,False,True,Beginner
16,Professional Certificate,4.6,55000,False,True,Beginner
17,Professional Certificate,4.6,5800,False,True,Beginner
18,Specialization,4.7,1900,False,False,Beginner
19,Course,4.8,45000,False,False,Beginner
20,Professional Certificate,4.7,5200,False,True,Advanced
21,Specialization,4.6,68000,False,True,Beginner
22,Professional Certificate,4.6,45000,False,False,Beginner
23,Specialization,4.6,95000,False,True,Beginner
24,Specialization,4.7,25000,False,False,Beginner
25,Specialization,4.6,44000,False,False,Beginner
26,Professional Certificate,4.6,55000,False,True,Beginner
27,Specialization,4.6,56000,False,True,Beginner
28,Professional Certificate,4.7,20000,False,False,Beginner
29,Course,4.9,89000,False,False,Beginner
30,Course,4.8,109000,False,False,Beginner
31,Course,4.7,194,False,False,Beginner
32,Specialization,4.6,53000,False,False,Beginner
33,Specialization,4.7,95000,False,False,Beginner
34,Course,4.8,29000,False,True,Beginner
35,Professional Certificate,4.7,26000,False,True,Beginner
36,Course,4.9,25000,False,False,Beginner
37,Specialization,4.7,25000,False,True,Beginner
38,Professional Certificate,4.7,21000,False,True,Beginner
39,Specialization,4.7,40000,False,False,Beginner
40,Specialization,4.8,275000,False,True,Beginner
41,Specialization,4.6,14000,False,False,Beginner
42,Specialization,4.7,88000,False,False,Beginner
43,Specialization,4.5,16000,False,False,Beginner
44,Professional Certificate,4.7,47000,False,False,Beginner
45,Specialization,4.7,21000,False,False,Beginner
46,Professional Certificate,4.6,5800,False,False,Beginner
47,Professional Certificate,4.8,20000,False,True,Beginner
48,Specialization,4.7,1100,False,False,Beginner
49,Professional Certificate,4.7,347,False,False,Beginner
50,Professional Certificate,4.6,5500,False,False,Beginner
51,Course,4.8,3000,False,False,Intermediate
52,Course,4.8,155000,False,False,Beginner
53,Professional Certificate,4.6,19000,False,True,Intermediate
54,Professional Certificate,4.6,4900,False,False,Beginner
55,Professional Certificate,4.6,4600,False,False,Beginner
56,Professional Certificate,4.7,15000,False,False,Beginner
57,Professional Certificate,4.7,6600,False,False,Beginner
58,Professional Certificate,4.7,12000,False,False,Beginner
59,Course,4.8,24000,False,False,Beginner
60,Specialization,4.6,2500,False,False,Intermediate
61,Professional Certificate,4.8,278,False,False,Intermediate
62,Specialization,4.5,11000,False,False,Beginner
63,Course,4.8,2700,False,False,Beginner
64,Professional Certificate,4.7,13000,False,False,Beginner
65,Professional Certificate,4.8,7700,False,False,Beginner
66,Professional Certificate,4.7,11000,False,False,Beginner
67,Specialization,4.7,3900,False,False,Intermediate
68,Specialization,4.7,3900,False,False,Intermediate
69,Specialization,4.7,3900,False,False,Intermediate
70,Specialization,4.6,9900,False,False,Beginner
71,Specialization,4.7,4000,False,False,Beginner
72,Professional Certificate,4.6,6700,False,False,Beginner
73,Specialization,4.7,3900,False,False,Intermediate
74,Course,4.8,29000,False,False,Beginner
75,Specialization,4.7,3800,False,False,Intermediate
76,Specialization,4.7,3800,False,False,Intermediate
77,Specialization,4.6,7000,False,False,Intermediate
78,Specialization,4.7,3800,False,False,Intermediate
79,Course,4.8,8300,False,False,Beginner
80,Specialization,4.7,3800,False,False,Intermediate
81,Specialization,4.7,3800,False,False,Intermediate
82,Specialization,4.8,5000,False,False,Beginner
83,Specialization,4.8,5000,False,False,Beginner
84,Course,4.8,11,False,False,Beginner
85,Course,4.7,33000,False,False,Beginner
86,Course,4.8,22000,False,False,Beginner
87,Professional Certificate,4.7,1100,False,False,Beginner
88,Specialization,4.8,4700,False,False,Beginner
89,Specialization,4.8,4800,False,False,Beginner
90,Course,4.8,23000,False,False,Mixed
91,Specialization,4.8,4600,False,False,Beginner
92,Specialization,4.8,4900,False,False,Beginner
93,Specialization,4.8,4600,False,False,Beginner
94,Specialization,4.8,4600,False,False,Beginner
95,Professional Certificate,4.6,7900,False,True,Beginner
96,Specialization,4.8,4500,False,False,Beginner
97,Course,4.8,70000,False,False,Beginner
98,Specialization,4.6,18000,False,False,Beginner
99,Specialization,4.8,4900,False,False,Beginner
100,Professional Certificate,4.8,2800,False,False,Beginner
101,Professional Certificate,4.6,7500,False,True,Beginner
102,Specialization,4.8,4500,False,False,Beginner
103,Specialization,4.8,7900,False,False,Beginner
104,Professional Certificate,4.6,8600,False,True,Beginner
105,Professional Certificate,4.7,25000,False,False,Intermediate
106,Specialization,4.8,4500,False,False,Beginner
107,Specialization,4.6,6000,False,False,Intermediate
108,Specialization,4.6,3700,False,False,Beginner
109,Specialization,4.7,4700,False,False,Beginner
110,Professional Certificate,4.7,10000,False,False,Beginner
111,Professional Certificate,4.9,20000,False,False,Beginner
