,course_id,title,organization
926,927,Google Project Management:,Google
927,928,Google Digital Marketing & E-commerce,Google
928,929,Google IT Support,Google
929,930,Google UX Design,Google
930,931,Machine Learning,Multiple educators
931,932,Google AI Essentials,Google
932,933,IBM Data Science,IBM
933,934,Deep Learning,DeepLearning.AI
934,935,IBM Data Analyst,IBM
935,936,IBM Generative AI Engineering,IBM
936,937,Google Cybersecurity,Google
937,938,Google Data Analytics,Google
938,939,Google Project Management:,Google
939,940,Google Digital Marketing & E-commerce,Google
940,941,Google IT Support,Google
941,942,Google UX Design,Google
942,943,Machine Learning,Multiple educators
943,944,Google AI Essentials,Google
944,945,IBM Data Science,IBM
945,946,Deep Learning,DeepLearning.AI
946,947,IBM Data Analyst,IBM
947,948,IBM Generative AI Engineering,IBM
948,949,Google Cybersecurity,Google
949,950,Google Data Analytics,Google
950,951,Google Project Management:,Google
951,952,Google Digital Marketing & E-commerce,Google
952,953,Google IT Support,Google
953,954,Google UX Design,Google
954,955,Machine Learning,Multiple educators
955,956,Google AI Essentials,Google
956,957,IBM Data Science,IBM
957,958,Deep Learning,DeepLearning.AI
958,959,IBM Data Analyst,IBM
